RATA_RATA,MAT,BIO,KIM,BIG,INDEKS,TARGET
88.44,87.6,89.8,88.8,86.2,0.85,0
86.95,86,87.6,84.4,87.4,0.785,0
88.03,86.6,86.2,84.4,83,0.812,0
89.05,87.2,89,87.4,91.2,0.853,0
86.98,85.6,88.4,88.4,90.2,0.871,0
84.61,84,85.8,86.2,84.4,0.83,0
92.64,93,92.6,92,92,0.851,0
89.12,89.6,89.8,86.8,90.8,0.865,0
89.15,87,88.8,88.8,86.6,0.823,0
88.29,88,89.4,88.4,85.6,0.834,0
88.77,85.6,87.4,88.6,86.6,0.819,0
85.17,89.8,84.4,83,84,0.846,0
86.08,83.4,84.4,86.6,85,0.894,0
88.42,88.8,89.8,89.8,90.6,0.865,0
86.21,84.4,86.2,83.8,87.4,0.85,0
85.94,86.6,88.4,86.8,83.6,0.776,0
85.73,79.6,85.6,85.4,86.6,0.843,0
91.38,92.6,93.4,93.6,91.6,0.744,0
86.31,88.2,86.4,83.4,85.2,0.865,0
83.47,80.6,84,83.8,81,0.769,0
81.18,82,78.8,78.2,78.4,0.663,0
88.68,87.2,84,88,90.4,0.775,0
85.57,85.8,86,89.8,84.2,0.85,0
86.94,83.8,88.2,85.6,85,0.854,0
90.33,89.6,89.2,90.8,93,0.836,0
93.15,92.8,93.8,92.5,92.6,0.779,0
85.15,81.6,85.2,82.6,84.2,0.813,0
87.49,85.2,89.4,86.2,89.4,0.854,0
84.09,84,82,80.4,82.4,0.768,0
85.85,83.6,86.8,83.4,83.6,0.769,0
89.79,91.8,92.2,90.2,90.2,0.884,0
